width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.17,2,36.96,1.04808,37.0302,43.6416,46.3107
100,0.17,3,40.72,0.9214,42.0331,46.4054,48.8395
100,0.17,4,37.06,0.858845,38.1793,43.0095,46.0475
100,0.17,5,38.66,1.0266,39.5581,46.2544,48.7839
100,0.17,6,34.5,0.877652,35.9715,41.744,44.2904
100,0.17,7,37.92,0.867828,37.8809,44.6877,47.214
100,0.17,8,34.97,0.994333,34.4355,41.5788,45.0908
100,0.17,9,37.96,0.933403,38.2644,44.3753,46.7301
100,0.17,10,37.64,1.04919,37.3965,44.5214,46.7805
100,0.17,11,32.25,1.01198,33.5317,38.7202,40.9777
100,0.17,12,37.05,1.08518,38.266,43.9074,47.0649
100,0.17,13,36.66,1.00227,36.4832,43.8429,46.2212
100,0.17,14,33.96,0.968048,34.5424,40.9196,43.2128
100,0.17,15,37.51,1.0113,38.5541,44.4841,47.2143
100,0.17,16,41.58,1.00899,40.5729,47.837,51.0894
100,0.17,17,36.52,0.875926,37.0771,43.0569,45.072
100,0.17,18,35.3,0.899279,35.9189,42.1615,45.0559
100,0.17,19,36.58,0.982059,35.892,43.4828,45.5043
100,0.18,0,39.83,0.95681,40.5908,46.0987,48.5025
100,0.18,1,33.44,0.891189,33.9639,39.4792,42.1795
100,0.18,2,35.9,0.911958,36.6921,42.272,44.5144
100,0.18,3,36,0.993619,35.7055,42.2463,44.9676
100,0.18,4,34.77,0.901739,35.9681,41.5413,43.4412
100,0.18,5,35.59,0.936693,35.372,40.8061,42.0731
100,0.18,6,38.47,0.931606,38.047,45.1895,47.2275
100,0.18,7,38.25,0.913631,38.0727,44.5771,47.3037
100,0.18,8,37.06,0.884282,37.9797,43.9962,46.4075
100,0.18,9,39.79,0.933245,39.6057,46.6923,49.0682
100,0.18,10,39.5,0.94543,38.066,45.8761,48.7505
100,0.18,11,38.83,0.956037,39.6355,45.1423,47.8842
100,0.18,12,36.71,0.888762,37.138,42.5322,45.0113
100,0.18,13,34.57,0.887078,35.0637,41.7348,43.9726
100,0.18,14,35.16,0.90372,35.9552,42.4282,44.3668
100,0.18,15,36.5,0.874771,36.4026,42.7252,45.983
100,0.18,16,36.86,0.873784,37.1384,43.7052,46.0914
100,0.18,17,39.02,0.851623,40.6318,45.4304,47.5425
100,0.18,18,35.14,0.932472,34.37,41.4971,43.0612
100,0.18,19,39.84,0.966412,40.524,45.9845,48.3986
100,0.19,0,36.47,0.97837,36.0946,43.0337,45.2961
100,0.19,1,36.34,0.936655,36.7756,42.5159,45.1279
100,0.19,2,36.26,0.985795,36.9168,42.8231,45.1434
100,0.19,3,38.04,0.946131,38.8945,44.2544,46.6318
100,0.19,4,35.28,0.965965,35.8036,41.0078,43.8981
100,0.19,5,40.91,0.990112,41.3103,46.6503,49.7359
100,0.19,6,34.62,0.897011,35.546,40.0155,41.9212
100,0.19,7,37.56,0.927498,36.3171,43.7802,46.1554
100,0.19,8,37.32,0.852091,37.7582,43.7546,46.3791
100,0.19,9,34.71,0.989546,34.7614,41.0738,43.5977
100,0.19,10,35.64,0.881389,35.8286,41.5295,44.4118
100,0.19,11,36.6,0.926761,37.7492,43.3113,45.9881
100,0.19,12,42.85,0.932513,43.3967,49.1457,51.4313
100,0.19,13,37.91,0.767622,38.5039,43.4423,46.0036
100,0.19,14,38.29,0.965542,39.1797,44.6823,47.061
100,0.19,15,38.26,0.868221,39.4733,44.5777,47.2604
100,0.19,16,34.65,1.05788,35.3114,41.3823,44.0961
100,0.19,17,37.72,0.945215,37.5789,43.7978,46.4742
100,0.19,18,36.37,0.912589,36.8799,42.6176,45.3794
100,0.19,19,35.75,0.942028,35.1951,41.3598,44.3984
100,0.2,0,37.99,0.929887,38.0231,44.6769,47.1751
