width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.4,7,38.09,0.842427,38.6696,42.9771,44.3261,45.8074
100,0.4,8,40.62,0.815738,40.1449,44.6392,46.5313,47.5461
100,0.4,9,38.51,0.727271,39.0473,42.7811,43.6521,45.0439
100,0.4,10,39.4,0.762215,38.6085,44.26,45.2762,46.3839
100,0.4,11,41.19,0.797208,41.5793,45.6212,47.529,48.2716
100,0.4,12,38.47,0.801136,38.5283,42.9024,43.8427,44.8841
100,0.4,13,38.14,0.788255,38.6981,41.9021,44.015,44.7096
100,0.4,14,37.13,0.849895,38.0232,40.9693,42.7319,43.6521
100,0.4,15,40.22,0.787853,41.4955,44.3235,45.9943,46.8337
100,0.4,16,37.6,0.8349,37.8837,42.2396,43.6308,44.5879
100,0.4,17,36.83,0.762493,35.8546,41.7466,43.1253,43.7972
100,0.4,18,41.69,0.831023,42.4473,46.0529,47.5321,48.4666
100,0.4,19,39.41,0.836942,40.8803,43.9429,45.9118,46.7845
100,0.4,20,39.19,0.795064,40.1733,43.1252,44.6175,45.7378
100,0.4,21,39.95,0.777497,41.4138,43.9683,45.0076,46.0671
100,0.4,22,41.58,0.758232,41.1617,45.0522,46.3674,47.1933
100,0.4,23,39.97,0.795419,40.6739,44.4719,45.7925,46.2568
100,0.4,24,39.3,0.760941,39.7564,44.1463,45.1868,46.3579
100,0.4,25,39.97,0.757163,40.5739,43.3935,44.5528,45.3135
100,0.4,26,39.59,0.761031,39.4605,44.2905,45.9788,46.7611
100,0.4,27,37.41,0.818247,37.724,42.0162,43.7776,44.4593
100,0.4,28,38.02,0.745601,38.3218,42.5936,43.8149,44.9927
100,0.4,29,41.57,0.694597,42.7245,44.7642,46.4249,47.4864
100,0.4,30,41.09,0.715705,42.517,43.9502,46.8221,47.2234
100,0.4,31,38.87,0.805152,39.7702,43.2861,44.951,46.0091
100,0.4,32,37.95,0.791575,38.0193,42.7355,43.0425,44.3472
100,0.4,33,39.1,0.800224,39.2941,42.8334,45.3163,46.2062
100,0.4,34,39.22,0.844497,40.4782,43.7773,45.5944,46.2118
100,0.4,35,39.19,0.720979,39.5659,42.6313,44.888,45.8217
100,0.4,36,36.51,0.783796,37.3795,41.1573,42.5793,43.5924
100,0.4,37,40.21,0.817551,40.7441,45.3637,45.814,46.9806
100,0.4,38,39.17,0.829628,39.3344,44.0689,44.9224,45.8893
100,0.4,39,40.07,0.757827,40.4587,43.7332,45.602,46.6865
100,0.4,40,39.42,0.822422,39.6524,44.3509,45.7011,46.4037
100,0.4,41,36.87,0.818592,37.3613,40.9367,42.4311,43.3524
100,0.4,42,39.22,0.756093,40.1923,43.3513,45.1806,45.8124
100,0.4,43,40.38,0.750133,40.7744,44.3937,46.1179,46.9763
100,0.4,44,41.73,0.896576,42.6698,46.1394,47.0996,48.152
100,0.4,45,38.98,0.794268,40.5753,43.8271,45.3471,46.2481
100,0.4,46,38.27,0.778234,39.8639,43.2283,44.5882,45.3239
100,0.4,47,37.51,0.807652,38.6527,41.6315,43.4916,44.4364
100,0.4,48,39.5,0.752672,40.4054,43.3655,45.2852,46.2561
100,0.4,49,39.75,0.777685,40.7276,43.9864,45.9513,46.8201
100,0.5,0,40.09,0.728997,39.8318,43.9414,44.3936,45.6644
100,0.5,1,40.9,0.676177,41.3758,43.7807,45.4924,46.3961
100,0.5,2,39.52,0.701652,40.6069,43.33,44.4065,45.453
100,0.5,3,40.15,0.71768,40.4638,43.6539,44.317,45.5661
