width,noise,instance_number, greedy_mean,greedy_stdev,pagerank_value,regret_value,global_greedy,optimal_value
100,0.03,18,44.02,0.594169,43.8096,44.8183,45.1311,45.9537
100,0.03,19,43,0.640952,41.0947,43.6148,44.1884,45.2007
100,0.03,20,43.6,0.525342,44.0355,44.4513,44.745,45.5211
100,0.03,21,43.9,0.531391,43.3585,44.706,44.6539,45.744
100,0.03,22,44.28,0.634699,44.4976,45.2823,45.3011,46.0983
100,0.03,23,44,0.677877,43.242,45.0716,45.0414,45.8758
100,0.03,24,43.48,0.567134,42.0436,44.0439,44.3136,45.4381
100,0.03,25,42.7,0.479157,41.2191,43.5481,43.9368,44.888
100,0.03,26,43.96,0.390826,42.4573,44.727,45.008,45.8117
100,0.03,27,44.94,0.500119,43.7785,45.4573,46.0078,46.4802
100,0.03,28,43.04,0.707425,42.3355,43.9195,44.2272,45.1916
100,0.03,29,41.98,0.543057,41.5033,42.7085,43.1093,44.3709
100,0.03,30,43.4,0.560297,42.1454,44.1903,44.4712,45.5048
100,0.03,31,43.82,0.491241,42.443,44.5867,44.9573,45.6309
100,0.03,32,43.32,0.617631,42.1932,44.0561,44.2363,45.3847
100,0.03,33,43.76,0.451005,42.5028,44.5099,44.6872,45.6413
100,0.03,34,42.84,0.39554,42.1271,42.9764,43.5346,44.758
100,0.03,35,44.42,0.580967,43.8802,45.2042,45.225,46.2982
100,0.03,36,43.96,0.445837,42.4312,44.6891,44.884,45.5806
100,0.03,37,44,0.529323,42.2553,44.5813,44.7515,45.9235
100,0.03,38,43.98,0.400439,42.2584,44.6032,44.7163,45.6559
100,0.03,39,43.94,0.506225,43.5947,44.3374,45.313,45.8361
100,0.03,40,42,0.532195,39.9365,42.96,42.9585,44.5009
100,0.03,41,43.96,0.383449,42.956,44.4959,44.716,45.7641
100,0.03,42,42.86,0.424558,41.4227,43.489,43.4369,44.7094
100,0.03,43,43.74,0.492995,42.7533,44.3256,44.7477,45.5617
100,0.03,44,43.88,0.518424,42.6458,44.5418,44.8962,45.7241
100,0.03,45,42.42,0.575349,41.2886,43.1508,43.4651,44.7402
100,0.03,46,44,0.573164,43.3361,45.2539,45.1872,45.7537
100,0.03,47,43.26,0.642539,41.4779,43.9307,44.6539,45.2812
100,0.03,48,44,0.579431,42.2779,44.8415,45.0662,45.9749
100,0.03,49,43,0.407302,41.9978,43.7581,44.005,45.1547
100,0.04,0,42.34,0.615311,40.2804,42.9578,43.8239,44.8222
100,0.04,1,42.9,0.447665,41.421,43.4383,43.7954,45.018
100,0.04,2,42.86,0.46745,41.7609,43.5144,43.7095,44.8927
100,0.04,3,43.82,0.390179,42.943,44.7126,44.7703,45.647
100,0.04,4,42.88,0.4492,41.9861,43.8109,44.1043,44.8304
100,0.04,5,43.12,0.687003,42.4802,44.2745,44.0074,45.306
100,0.04,6,43.78,0.494393,42.3436,44.4673,44.972,45.6793
100,0.04,7,40.96,0.586616,38.7917,41.3368,42.6128,43.5785
100,0.04,8,42.98,0.574569,42.3153,43.753,43.948,45.1435
100,0.04,9,43.92,0.567329,43.1724,44.882,45.2403,45.7988
100,0.04,10,44.06,0.612767,43.6283,45.1406,45.2191,45.9337
100,0.04,11,42.68,0.48021,41.3405,43.2325,43.3436,44.7693
100,0.04,12,43.04,0.628131,42.2642,43.9141,44.1226,45.011
100,0.04,13,42.9,0.43904,42.3909,43.5578,43.565,44.8217
100,0.04,14,43.1,0.65937,41.2171,43.9752,44.4838,45.2093
100,0.04,15,43.18,0.688525,42.2388,44.36,44.2783,45.4257
100,0.04,16,44.32,0.599802,43.999,45.273,45.362,46.0758
100,0.04,17,43.88,0.431291,43.2547,44.4944,44.85,45.5778
100,0.04,18,43.46,0.563021,43.5135,44.5366,44.7255,45.5708
100,0.04,19,43.9,0.44743,43.8038,45.0416,44.9073,45.6134
100,0.04,20,43.66,0.549165,43.8612,44.2422,44.9881,45.7385
100,0.04,21,43.02,0.592649,41.9658,43.9985,44.1403,45.2052
100,0.04,22,42.76,0.468845,42.0261,43.388,43.7809,44.6389
100,0.04,23,42.5,0.567591,40.9106,43.6283,43.6483,44.685
100,0.04,24,42.1,0.639146,39.5222,43.2285,43.2261,44.3711
100,0.04,25,43.92,0.320824,43.6155,44.6693,44.5762,45.4406
100,0.04,26,42.86,0.47918,41.5415,43.5443,43.6999,45.012
100,0.04,27,43.02,0.531339,41.6054,43.8368,44.0695,45.0392
100,0.04,28,42.06,0.628538,40.7438,42.9191,43.4887,44.5019
100,0.04,29,43.08,0.657443,41.9783,43.9739,43.9942,45.1821
100,0.04,30,43.68,0.449602,42.6269,44.1301,44.9257,45.4576
100,0.04,31,43,0.458377,41.0463,43.7622,44.0164,45.2859
100,0.04,32,43.28,0.629181,41.783,43.6303,44.5159,45.453
100,0.04,33,42.12,0.69919,40.8734,42.9057,43.4245,44.5122
100,0.04,34,42.8,0.398951,42.2131,43.7108,43.6108,44.8517
100,0.04,35,43.88,0.492958,43.0751,44.8612,44.7667,45.7601
100,0.04,36,43.06,0.620607,42.4706,44.084,44.0224,45.2615
100,0.04,37,43.88,0.454596,43.4129,44.2283,44.9279,45.6815
100,0.04,38,42.04,0.608042,40.5036,43.1908,43.0332,44.4147
100,0.04,39,43.84,0.350201,43.2999,44.5456,44.563,45.2809
100,0.04,40,43.38,0.576226,42.943,44.3467,44.7228,45.3155
100,0.04,41,43.6,0.476886,42.6205,44.1876,44.2973,45.3771
100,0.04,42,44,0.46451,43.0119,45.292,44.8329,45.7579
100,0.04,43,43.06,0.703729,42.2341,44.0393,44.3337,45.1883
100,0.04,44,43.7,0.419172,41.945,44.3447,44.5808,45.3864
100,0.04,45,43.92,0.384269,43.6428,44.3149,44.8852,45.5639
100,0.04,46,44.56,0.522565,45.0405,45.5201,45.5885,46.0935
100,0.04,47,43.96,0.499708,43.2221,44.7273,44.9168,45.6125
100,0.04,48,44.04,0.685441,44.6691,44.8241,45.1134,45.9394
100,0.04,49,44,0.495239,43.2423,44.3675,44.9004,45.7523
100,0.05,0,43.64,0.440321,43.7829,44.3239,44.5027,45.1918
100,0.05,1,43.96,0.387169,43.3888,44.8015,44.7594,45.6741
100,0.05,2,41.98,0.456609,41.2372,43.1844,43.1225,44.3947
100,0.05,3,43.98,0.456432,43.6271,44.5719,45.0893,45.679
100,0.05,4,43.8,0.423499,42.8766,44.3826,44.595,45.5289
100,0.05,5,43.22,0.623105,42.5942,44.2585,44.2999,45.2648
100,0.05,6,43.1,0.659151,41.6085,44.421,44.6507,45.3203
100,0.05,7,43,0.547668,42.6123,43.7885,43.9814,45.1487
100,0.05,8,42.7,0.452727,40.6076,43.5105,43.8224,44.9546
100,0.05,9,43,0.583297,41.8318,43.6553,44.1973,45.2499
100,0.05,10,42.14,0.636451,39.941,43.2453,43.2325,44.655
100,0.05,11,43.88,0.357012,43.273,44.6492,44.4994,45.4408
100,0.05,12,42.84,0.454542,40.8248,43.7679,43.7303,45.018
100,0.05,13,43.6,0.547087,43.8941,44.4276,44.5303,45.4313
100,0.05,14,43.98,0.50053,43.4361,44.6142,44.6947,45.4801
100,0.05,15,43.96,0.485362,43.4363,44.8494,44.9594,45.5553
100,0.05,16,43.72,0.455306,43.6214,44.6819,44.969,45.4704
100,0.05,17,43.7,0.509001,44.2254,44.5184,44.8058,45.566
100,0.05,18,43.26,0.666228,42.2728,44.4443,44.5663,45.426
100,0.05,19,43.3,0.610633,42.9004,44.2596,44.7602,45.2914
100,0.05,20,42.94,0.529856,42.2516,43.8259,44.0348,44.9686
100,0.05,21,43.96,0.55022,42.9984,45.1265,44.8853,45.7648
100,0.05,22,43.02,0.626067,42.5879,43.9076,44.2265,45.1362
100,0.05,23,42.08,0.666899,40.6975,43.2169,43.2595,44.4115
100,0.05,24,43.56,0.495471,41.391,44.3579,44.4007,45.3703
100,0.05,25,42.96,0.453435,42.9494,43.6754,43.8137,45.0351
100,0.05,26,42.96,0.446293,42.5878,43.6896,43.6981,44.9378
100,0.05,27,43.12,0.656155,43.2333,44.2261,44.3039,45.2852
100,0.05,28,41.82,0.490433,40.2667,42.8035,42.7058,44.2873
100,0.05,29,42.92,0.403611,41.0654,43.4765,43.7149,44.8595
100,0.05,30,43.02,0.615617,43.2984,43.9547,44.1309,45.1706
100,0.05,31,42.94,0.419178,42.6936,43.8981,43.9868,44.9214
100,0.05,32,43.18,0.72073,43.8638,44.3717,44.4812,45.1514
100,0.05,33,41.64,0.532317,39.2126,42.585,42.3256,43.8996
100,0.05,34,42.54,0.507404,41.0755,43.4131,43.7221,44.8928
100,0.05,35,43.42,0.556166,42.8439,44.017,44.6796,45.3211
100,0.05,36,42,0.636953,41.9912,42.9176,42.9915,44.343
100,0.05,37,43.16,0.619878,43.0098,44.2372,44.2668,45.1553
100,0.05,38,41.78,0.541161,40.4382,42.5032,42.9993,44.1002
100,0.05,39,41.02,0.584789,39.3389,41.5428,42.2868,43.6882
100,0.05,40,42.96,0.522221,41.7649,43.9393,43.9725,45.1748
100,0.05,41,43.7,0.465832,42.2734,44.3894,44.5125,45.5932
100,0.05,42,42.84,0.455543,41.3789,43.5378,43.9139,45.1136
100,0.05,43,43.04,0.619582,42.1025,44.3587,44.2585,45.1829
100,0.05,44,43.22,0.652137,42.4049,44.4373,44.2982,45.2976
100,0.05,45,43.08,0.673083,42.3023,44.3585,44.0816,45.0971
100,0.05,46,42.56,0.59325,40.997,43.8828,43.8123,44.9571
100,0.05,47,42.8,0.408192,41.6847,43.4186,43.493,44.772
100,0.05,48,43,0.590401,42.5903,44.0955,44.0756,44.7892
100,0.05,49,43.9,0.405081,43.0471,44.5665,44.5791,45.5351
100,0.06,0,42.4,0.581702,41.1666,43.6232,43.4005,44.8096
100,0.06,1,43.38,0.609039,42.6586,44.2804,44.2041,45.3968
100,0.06,2,43.68,0.494727,43.0464,44.3728,44.3505,45.384
100,0.06,3,42.8,0.388156,41.7373,43.4314,43.4443,44.7422
100,0.06,4,42.98,0.496586,41.971,43.6417,44.0814,44.8665
100,0.06,5,43.74,0.463947,43.587,44.179,44.8644,45.509
100,0.06,6,42.3,0.610184,41.5587,42.9311,43.3897,44.6558
100,0.06,7,43,0.708742,43.1238,44.1382,43.9406,45.1339
100,0.06,8,42.8,0.47869,42.1122,43.5154,43.7352,44.7739
100,0.06,9,43.46,0.557401,42.4416,44.3349,44.6233,45.3747
100,0.06,10,43.24,0.60539,42.3172,44.1402,44.5979,45.2126
100,0.06,11,42.52,0.529131,41.1513,43.2527,43.535,44.4293
100,0.06,12,42.06,0.642071,41.2602,43.0867,43.6144,44.3933
100,0.06,13,42.96,0.413497,42.4418,43.4367,43.6459,44.8565
100,0.06,14,43.02,0.567224,42.3918,43.6482,43.8728,45.0587
100,0.06,15,42.86,0.445359,42.6976,43.28,43.5768,44.7227
100,0.06,16,42.92,0.420261,43.1062,43.4135,43.8686,44.634
100,0.06,17,43.76,0.452471,43.1961,44.4712,44.5713,45.408
100,0.06,18,42.18,0.650698,41.6276,43.0972,43.4646,44.4866
100,0.06,19,43.02,0.627043,42.3972,44.0297,44.2936,45.0932
100,0.06,20,43,0.449775,42.2091,44.0968,43.9387,44.8755
100,0.06,21,42.22,0.67821,42.0969,43.469,43.1163,44.5999
100,0.06,22,43.02,0.652649,42.9537,44.203,44.1531,45.2317
100,0.06,23,43,0.57756,43.0191,44.0259,44.1265,45.1152
100,0.06,24,43.64,0.461287,43.7879,44.6534,44.7553,45.4531
100,0.06,25,42.88,0.505303,43.5604,43.6489,43.8277,44.831
100,0.06,26,43.54,0.504136,43.5185,44.0879,44.5053,45.301
100,0.06,27,43.6,0.451767,42.8103,44.1857,44.592,45.3695
100,0.06,28,42.32,0.588588,40.7831,43.2087,43.3418,44.4324
100,0.06,29,41.96,0.526277,40.9883,42.7036,42.9367,44.1759
100,0.06,30,43.86,0.389933,42.8289,44.8237,44.445,45.4969
100,0.06,31,41.86,0.589006,40.334,42.5058,43.2082,44.3391
100,0.06,32,43.02,0.654338,43.3623,43.9385,44.1029,45.1461
100,0.06,33,42.42,0.570377,40.4771,43.2607,43.5258,44.7287
100,0.06,34,43.28,0.577473,43.7426,44.4151,44.4894,45.2245
100,0.06,35,42.5,0.561452,41.4693,43.1801,43.2174,44.5775
100,0.06,36,42.96,0.561017,43.3587,43.9135,44.0298,44.8444
100,0.06,37,43.02,0.585466,41.3771,43.8675,44.2588,45.2726
100,0.06,38,42.78,0.44508,41.6675,43.7218,43.6194,44.9466
100,0.06,39,42.94,0.487347,41.7797,43.7792,43.9695,44.8724
100,0.06,40,43.34,0.597437,43.0125,44.1694,44.3135,45.2994
100,0.06,41,43,0.656889,42.5424,44.1681,43.9705,44.9509
100,0.06,42,43.5,0.500946,42.3038,44.5192,44.618,45.3207
100,0.06,43,42.04,0.653266,41.7126,42.8633,43.619,44.5125
100,0.06,44,43.3,0.62498,41.3869,44.4021,44.4843,45.272
100,0.06,45,43.54,0.546727,43.2709,44.3615,44.7174,45.3006
100,0.06,46,41.98,0.594573,41.3203,43.003,43.0756,44.4005
100,0.06,47,42.74,0.409233,41.4723,43.3427,43.642,44.8741
100,0.06,48,42.72,0.486001,41.7853,43.5542,43.3751,44.9366
100,0.06,49,43,0.620985,42.7341,43.7234,44.1713,45.0567
100,0.07,0,42.98,0.575837,42.4602,43.8133,44.1666,45.0113
100,0.07,1,43,0.542198,42.99,43.9433,44.2951,44.8745
100,0.07,2,42.92,0.459996,41.8511,44.0388,44.2515,45.1008
100,0.07,3,42.4,0.574738,41.4397,43.4767,43.1807,44.7487
100,0.07,4,41.92,0.57541,41.2962,42.8164,42.8868,44.3462
100,0.07,5,42.14,0.585521,41.0666,42.9799,43.0705,44.4033
