source,target,value,greedy_pairing,pagerank_pairing,regret_pairing
25,122,1.217094017,0,0,0
25,126,4.554761905,1,1,0
25,130,1.366666667,0,0,0
25,132,0.483333333,0,0,0
25,135,0.266666667,0,0,0
25,137,3.333333333,0,0,0
25,141,0.114516129,0,0,0
25,143,1.0,0,0,0
25,144,2.871645022,0,0,0
25,147,0.18,0,0,0
25,148,0.114285714,0,0,0
25,156,1.988484848,0,0,0
26,117,0.2,0,0,0
26,118,0.375,1,0,0
26,119,0.05,0,0,0
26,120,0.072727273,0,0,0
26,122,0.619047619,0,0,0
26,128,0.547222222,0,0,0
26,133,0.35,0,0,0
26,135,0.2,0,0,1
26,144,0.022222222,0,0,0
26,147,0.033333333,0,0,0
26,150,0.5,0,0,0
26,153,0.3,0,1,0
27,100,0.111111111,0,0,0
27,101,1.178614806,0,0,0
27,107,0.661497326,1,1,0
27,119,0.033333333,0,0,0
27,122,0.222222222,0,0,0
27,130,0.166666667,0,0,0
27,135,0.2,0,0,0
27,145,0.952380952,0,0,1
27,147,0.058333333,0,0,0
27,150,0.8,0,0,0
27,152,0.142857143,0,0,0
28,114,0.166666667,0,0,0
29,122,0.133333333,0,0,0
29,130,0.228571429,1,0,1
30,141,0.111111111,0,0,0
31,101,0.2,0,0,0
31,114,0.133333333,0,0,0
31,117,0.013333333,0,0,0
31,126,1.6,0,0,0
31,132,0.0625,0,0,0
31,133,4.503103753,1,0,1
31,135,1.12,0,0,0
31,147,3.035562771,0,0,0
31,150,2.75,0,0,0
31,154,0.142857143,0,1,0
31,156,0.24,0,0,0
32,114,0.083333333,0,0,0
33,101,0.222222222,0,0,0
33,114,0.909502262,1,0,0
33,122,0.857142857,0,0,0
33,144,0.052631579,0,0,0
33,147,0.08,0,0,0
34,101,0.222222222,0,0,0
34,122,0.111111111,0,0,0
35,144,0.281818182,0,0,0
36,117,0.013333333,0,0,0
37,119,0.016666667,0,0,0
37,147,0.302857143,0,0,0
38,128,0.222222222,0,0,0
39,117,0.02739726,0,0,0
