width,noise,instance_number,greedy_mean,greedy_stdev,pagerank_value,regret_value,optimal_value
100,0.7,32,41.32,0.705917,42.4251,43.2018,45.4776
100,0.7,33,41.85,0.709921,42.0554,43.9022,46.0864
100,0.7,34,40.79,0.687578,41.4774,42.2268,44.7852
100,0.7,35,43.12,0.651619,43.7935,45.5768,47.1852
100,0.7,36,40.49,0.698095,41.4676,41.8868,44.2841
100,0.7,37,41.83,0.64841,42.2227,44.0035,46.2192
100,0.7,38,41.86,0.645398,42.442,44.229,46.2459
100,0.7,39,40.85,0.698292,41.0573,43.5675,45.0045
100,0.7,40,40.76,0.611424,41.4166,42.3896,44.9734
100,0.7,41,41.19,0.676833,41.9058,43.3851,45.6663
100,0.7,42,43.82,0.750767,43.8709,46.1031,48.0552
100,0.7,43,42.07,0.65337,42.0799,44.3686,46.1345
100,0.7,44,42.02,0.6879,42.0772,43.6144,46.0807
100,0.7,45,41.81,0.62994,43.1768,43.5939,46.149
100,0.7,46,40.9,0.666741,40.3066,43.1395,45.3857
100,0.7,47,42.24,0.654809,43.2358,43.9889,46.2492
100,0.7,48,41.4,0.661779,42.3444,43.4556,45.3371
100,0.7,49,40.97,0.634164,41.7649,42.0209,44.7749
100,0.8,0,43.02,0.716461,43.6206,44.4201,46.6467
100,0.8,1,42.48,0.630474,43.0014,44.1466,45.8717
100,0.8,2,42.01,0.646873,43.1478,43.4161,45.4438
100,0.8,3,42.7,0.650154,42.8521,44.6777,46.0513
100,0.8,4,43.48,0.694111,44.3886,45.5384,47.0149
100,0.8,5,43.1,0.670646,43.2091,44.1513,46.8325
100,0.8,6,43.08,0.682206,43.8386,43.9201,46.6108
100,0.8,7,42.61,0.69428,43.2307,44.1198,46.2938
100,0.8,8,42.86,0.663641,43.3403,43.8444,46.3967
100,0.8,9,43.58,0.723456,44.2585,45.3913,47.1998
100,0.8,10,42.97,0.681397,42.9359,44.5693,46.6505
100,0.8,11,43.39,0.681458,43.8074,44.8999,47.0768
100,0.8,12,43.25,0.667658,44.2173,44.5489,46.6663
100,0.8,13,42.88,0.681163,43.3406,44.3394,46.3724
100,0.8,14,43.07,0.664239,43.6746,44.1095,46.488
100,0.8,15,42.5,0.67116,43.5907,44.7948,46.4896
100,0.8,16,42.72,0.718849,42.8284,43.8347,46.5619
100,0.8,17,42.42,0.705753,43.5976,44.8103,46.2251
100,0.8,18,42.65,0.631833,42.991,44.3474,46.1603
100,0.8,19,41.96,0.630011,42.7688,43.0556,45.4399
100,0.8,20,41.93,0.643159,42.7293,42.9536,45.6599
100,0.8,21,42.75,0.646796,43.1792,44.2857,46.1956
100,0.8,22,43.09,0.668445,44.275,43.8677,46.8711
100,0.8,23,42.84,0.617117,43.1342,44.4993,46.2508
100,0.8,24,43.11,0.648719,43.0468,44.2546,46.5451
100,0.8,25,43.38,0.728715,44.1922,45.115,46.6531
100,0.8,26,43.63,0.650296,45.0792,45.4216,47.0087
100,0.8,27,43.43,0.621242,44.5262,45.2098,46.7539
100,0.8,28,43.24,0.637696,43.7019,44.5428,46.4866
100,0.8,29,43.24,0.61277,43.9004,44.6088,46.589
100,0.8,30,44.15,0.675184,44.2937,45.4334,47.5983
100,0.8,31,43.11,0.721136,43.9585,44.8152,46.7547
100,0.8,32,43.18,0.67672,44.0274,44.7939,46.6123
100,0.8,33,42.92,0.69575,43.6569,43.9072,46.4979
100,0.8,34,42.69,0.729228,43.1437,43.7294,46.1038
100,0.8,35,42.89,0.643825,44.1335,44.0201,46.1105
100,0.8,36,42.78,0.6495,43.3899,44.4014,46.2671
100,0.8,37,43.43,0.65573,43.4492,44.3278,46.8254
100,0.8,38,42.54,0.629106,43.535,44.6521,45.8365
